idx,mapel,id,topik,tingkat,teks,A,B,C,D,kunci,bobot,sumber
25,agama_islam,,umum,,"Di sekolah yang dianggap menjadi orang kedua kita adalah guru, karena ...",Guru usianya sebaya dengan orang tua kita,Anak dari guru itu adalah teman kita,Kita memanggil guru dengan sebutan bapak atau ibu,Guru telah mendidik kita selayaknya orang tua kita di rumah,D,1,
26,agama_islam,,umum,,Salah satu cara mensyukuri nikmat Allah yaitu dengan cara ...,Mendirikan Sholat 5 waktu,Mengeluh,Bermain – main dengan teman,,A,1,
27,agama_islam,,umum,,Dibawah ini yang tidak termasuk rukun salat jenazah adalah ...,Mengangkat tangan ketika takbir,Membaca salawat setelah takbir kedua,Membaca al-fatihah setelah takbir pertama,Membaca takbir empat kali,A,1,
28,agama_islam,,umum,,Sumber hukum pertama dan utama bagi umat islam adalah ...,Al-qur’an,As-sunnah,Itjihad,Ijma’,A,1,
29,agama_islam,,umum,,"Di bawah ini merupakan isi kitab Zabur, kecuali...",Nyanyian perorangan sebagai ucapan syukur,Dilarang mencuri,Nyanyian untuk memuji Allah,Nyanyian untuk raja,B,1,
30,agama_islam,,umum,,Nabi Muhammad SAW bersama pamannya berdagang ke ...,Yunani,Makkah,Madinah,Syam,D,1,
31,agama_islam,,umum,,Salah satu menghindari perilaku hasud adalah istiqamah adalah ...,Istiqamah,Syajaah,Qanaah,Tasamuh,D,1,
32,agama_islam,,umum,,Salah satu kelebihan yang Allah berikan kepada Nabi Yusuf AS yaitu ...,Nabi Yusuf bisa menafsirkan mimpi,Nabi Yusuf membuat kapal di atas bukit,Nabi Yusuf tongkatnya dapat membelah lautan,,A,1,
33,agama_islam,,umum,,Kitab taurat diturunkan pada Nabi...,Daud as,Muhammad saw,Musa as,Isa as,C,1,
34,agama_islam,,umum,,Makna utama dari takziah adalah ...,Melayat kepada orang sakit,Bersikap sabar menerima musibah kematian,Menghibur orang yang baru ditinggalkan kerabatnya,Kewajiban muslim dalam merawat jenazah,C,1,
35,agama_islam,,umum,,"atimah pada bulan Ramadhan pergi ke Tasikmalaya. Di perjalanan dia mabuk dan muntah- muntah, akhirnya Fatimah membatalkan puasanya sehingga dia harus menggantinya dihari yang lain di luar bulan Ramadhan. Puasa yang harus dilakukan Fatimah adalah ...",Puasa qodho,Puasa Romadhon,Puasa nazar,Puasa kafarat,A,1,
36,agama_islam,,umum,,Jumlah makmum dalam salat berjamaah paling sedikit adalah...orang.,Satu,Dua,Tiga,Empat,A,1,
37,agama_islam,,umum,,"Erni merasa kesulitan menghafal Q.S. Al-Maidah ayat 2 dan 3, akan tetapi dia terus  berusaha sehingga dia bisa menghafalnya dengan lancar. Dari deskripsi di atas, manfaat yang  dapat diperoleh Erni adalah ...",Dipuji guru,Merasa tidak lelah karena terus menghafal,Dapat menghafal dengan lancar,Menjadi anak paling pandai di kelas,C,1,
38,agama_islam,,umum,,"Di bawah ini merupakan hikmah dari perilaku jujur, kecuali...",Mendapatkan kemudahan dalam hidupnya,Mendapat kesulitan dalam usaha,Selamat dari azab dan bahaya,Dijamin masuk surga,B,1,
39,agama_islam,,umum,,Talak yang dijatuhkan oleh suami atas permintaan istri dan istri memberikan sesuatu barang kepada mantan suaminya. Talak semacam ini dinamakan ...,Fasakh,Talak,Rujuk,Khuluk,D,1,
40,agama_islam,,umum,,"Alam beserta seluruh isinya merupakan bukti kekuasaan Allah SWT. Salah satu syarat penting bagi seseorang untuk memahami hal ini, yaitu ...",Memiliki guru yang tepat untuk memberikan pelajaran,Memiliki kapasitas keilmuan yang cukup,Dapat mengakses fasilitas ilmu,Beriman kepada Allah Swt.,D,1,
41,agama_kristen,,umum,,Bentuk pelayanan yang dilakukan ibu Teresa dilorong Kalkuta adalah ...,Penolong orang-orang yang susah,Menyusuri jalan Kalkuta,Bernyanyi-nyanyi memuji Tuhan,Bersungut-sungut,A,1,
42,agama_kristen,,umum,,Kota ini penuh dengan patung berhala. Filsafat berkembang pesat di sana. Paulus memanfaatkan konteks budayanya sehubungan dengan sebuah mezbah yang bertuliskan “kepada allah yang tidak di kenal “ untuk mengabarkan injil. Ini terjadi di kota ...,Yerusalem,Athena,Antiokhia,Korintus,B,1,
43,agama_kristen,,umum,,Tindakan Yesus yang menunjukkan bahwa Ia mengasihi orangtua-Nya berdasarkan Injil Lukas 2: 41 – 52 ialah ...,Belajar dengan tekun sehingga menjadi orang yang berhasil,Ikut pulang ke Nazaret dan hidup dalam asuhan orang tua-Nya,Mencari orang tuanya sampai ke Bait Allah,Terus tinggal di Yerusalem dengan alim ulama,B,1,
44,agama_kristen,,umum,,"Sebagai pengawas, orangtua harus menegur atau memberi sanksi sesuai disiplin dalam keluarga jika Ronaldo melakukan keslahan. Alkitab mengingatkan jika marah tidak boleh ...",Memukul sebagai hukuman,Marah sampai matahari terbenam,Membangkitkan amarah di hati anaknya,Menghukum sampai anak bertobat,B,1,
45,agama_kristen,,umum,,Kerinduan untuk selalu memberi apa yang dimilikinya untuk membangun kehidupan orang lain adalah esensi dari nilai ...,Sukacita,Kasih,Kebaikan,Kemurahan,D,1,
46,agama_kristen,,umum,,"Tidak egois, berpikir objektif, realistis dan bertanggungjawab adalah ciri dari ...",Berpikir positif,Berpikir kritis,Pribadi dewasa,Berpikir proaktif,C,1,
47,agama_kristen,,umum,,Semua rencana Allah bagi manusia selalu dimulai dengan melibatkan keluarga. Allah melibatkankeluarga Isai dalam sejarah perjalanan hidup bangsa Israel dengan cara ...,"Ibunya, Rut menikah dengan Boas",Memilih Daud menjadi raja bangsa Israel,Anak-anaknya berperang melawan Goliat,Membangun Bait Suci yang megah di Israel,B,1,
48,agama_kristen,,umum,,Bentuk partisipasi kepada korban bencana alam adalah ...,Memberi obat-obatan yang banyak,Memberi makanan yang awet-awet,Memberi pakaian pantas pakai,"Memberi makanan, pakaian, obat-obatan",D,1,
49,agama_kristen,,umum,,"Peka terhadap kritikan,responsif terhadap pujjian,hiperkritis,pesimis,dan menghindari kompetensi sehat adalah konsep dari cara berpikir ...",Positip,Negatif,Kreatif,Lateral,B,1,
50,agama_kristen,,umum,,Menurut mazmur 90 : 12 cara yang dipakai untuk beroleh hati yang bijaksana adalah ...,Melihat Matahari,Mengamati semut,Menghitung hari,Membuat jadwal harian,B,1,
51,agama_kristen,,umum,,"Kalau seorang anak mendapatkan konsep yang salah tentang ayahnya, anak akan mempuyai konsep yang buruk tentang Allah, sebab anak belajar mengenal Allah melalui ...",Figur ayah,Pendidikan,Pembinaan,Pengalaman,A,1,
52,agama_kristen,,umum,,"Yang menjadi dasar pelayanan kita kepada Allah, sesama dan alam adalah hukum kasih yang tertulis di ...",Matius 2 : 37-39,Matius 6 : 9-13,Matius 22 : 37-39,Matius 26 : 37-39,C,1,
53,agama_kristen,,umum,,Arti kata diakonia adalah ...,Persekutuan,Kesaksian,Peribadatan,Pelayanan,D,1,
54,agama_kristen,,umum,,"Rusaknya hubungan manusia dengan Allah, sehingga manusia terlepas, terasing dan terpisah dari Allah. Ini menggambarkan akibat dosa bagi manusia yaitu ...",Kematian jasmani,Kematian rohani,Penderitaan dalam hidup,Kematian yang kekal,B,1,
55,agama_kristen,,umum,,Ribka mengajari Yakub dalam segala hal. Hal ini menggambarkan bahwa Yakub bertumbuh menjadi anak yang ...,Manja dan malas,Tidak punya inisiatif,Tidak bertanggungjawab,Bergantung kepada orangtua,D,1,
56,agama_kristen,,umum,,Kebenaran iman Kristen yang menjadikan para martir siap untuk  menghadapi kematiaan adalah ...,Mati hidup ditangan Tuhan,Mati adalah kewajiban,Mati adalah keuntungan,Mati berbuah bagi Kristus,C,1,
57,agama_kristen,,umum,,Suami bertanggung jawab menyediakan kebutuhan isteri dan anak-anak sebab suami berperan untuk ...,Mengasihi,Menghargai,Memimpin,Mengajar,A,1,
58,agama_kristen,,umum,,Manfaat kita mengatur dan menggunakan waktu dengan baik adalah ...,Bisa istirahat karena sudah lelah belajar,Supaya ada kegiatan dan hidup kita tertib,Banyak waktu kosong yang terbuang,Menggunakan waktu kosong untuk bermain,B,1,
59,agama_kristen,,umum,,"Dalam Matius 25 : 14 – 30, sikap Tuhan  terhadap hamba yang tidak mengembangkan talenta adalah ...",Didorong untuk mengembangkannya,Dibiarkan saja karena orang bebas menggunakannya,Talentanya diambil dan orangnya dihukum,Ditambah lagi talentanya supaya dapat dikembangkan,C,1,
60,agama_kristen,,umum,,"Nilai kebenaran , nilai keindahan, dan nilai kebaikan adalah segala sesuatu yang berguna bagi manusia. Ketiga nilai ini termasuk kedalam nilai ...",Logika,Kehidupan,Kerohanian,Material,C,1,
61,biologi,,umum,,"Fungsi sel darah merah manusia antara
lain adalah
(1) Imunitas
(2) Transportasi CO2
(3) Pengatur pH
(4) Transportasi O2","Jika (1), (2), dan (3) benar",Jika (1) dan (3) benar,Jika (2) dan (4) benar,Jika hanya (4) yang benar,C,1,
62,biologi,,umum,,"Saat Cerry melakukan percobaan pada suatu tanaman yang diletakkan di ruang gelap, tenyata tamanan tersebut tumbuh lebih cepat di bandingkan tamanan yang di letakkan di bawah sinar matahari langsung, karena",ruang gelap merupakan tempat ideal untuk pertumbuhan,tidak adanya sinar matahari menyebabkan kerja auksin tidak terhambat,metabolisme akan meningkat di ruang gelap,sinar matahari merangsang pertumbuhan kuncup,B,1,
63,biologi,,umum,,Jenis mikroorganisme yang dimanfaatkan untuk kapas transgenik di Sulawesi adalah….,Pseudomonas sp.,Bacillus thurigenesis,Baculovirus sp.,Thiobacillus ferrooxidans,B,1,
64,biologi,,umum,,"Jantung merupakan alat pompa hisap dan pompa tekan
SEBAB
Darah dipompa keluar oleh dinding atrium dan dihisap oleh dinding ventrikel","Jika pernyataan benar, alasan benar, dan keduanya menunjukkan hubungan sebab dan akibat","Jika pernyataan benar, alasan benar, tapi keduanya tidak menunjukkan hubungan sebab dan akibat",Jika pernyataan benar dan alasan salah,Jika pernyataan salah dan alasan benar,C,1,
65,biologi,,umum,,Tumbuhan paku yang termasuk jenis paku homospora adalah ....,Selaginella sp.,Lycopodium sp.,Marchantia sp.,Spagnum sp.,B,1,
66,biologi,,umum,,Golongan verterbrata dikenal karena semuanya,Berdarah panas,Menyusui anaknya,Bernafas dengan paru-paru,Mempunyai tulang belakang,D,1,
67,biologi,,umum,,Fungsi hati berikut yang berkaitan dengan fungsi pencernaan makanan adalah....,sebagai penawar racun,menghasilkan empedu,menghancurkan eritrosit yang telah tua,mengubah glukosa menjadi glikogen,B,1,
68,biologi,,umum,,"Pada bayi yang belum lahir, antara atrium dekstra dan atrium sinistra terdapat lubang yang disebut",Foramen fanizzae,Foramen ovale,Perikardium,Miokardium,B,1,
69,biologi,,umum,,Zat terlarut dalam urine yang memengaruhi proses pemekatan urine adalah .,glukosa,NaCl,H2O,nitrogen,B,1,
70,biologi,,umum,,"Pada proses fermentasi yang dilakukan
sel-ragi terjadi
(1) Penguraian glukosa
(2) Pembentukan alcohol
(3) Pembebasan CO2
(4) Pembebasan panas","Jika (1), (2), dan (3) benar",Jika (1) dan (3) benar,Jika (2) dan (4) benar,Jika hanya (4) yang benar,A,1,
71,biologi,,umum,,"Suatu hewan yang hidupnya mengapung di permukaan laut, menyebabkan rasa gatal saat dipegang, termasuk filum …",Mollusca,Echinodermata,Arthropoda,Coelenterata,D,1,
72,biologi,,umum,,Keunikan biodiversitas Indonesia selain memiliki jenis hewan dan tumbuhan endemik adalah ..,terletak di garis khatulistiwa,terdiri dari kepulauan,mempunyai hutan tropis,banyak mempunyai jenis ikan,E,1,
73,biologi,,umum,,Ikan asin yang kadar garamnya tinggi ternyata menjadi agak membusuk dan rusak. Hal ini disebabkan oleh bakteri (Archaebacteria). Bakteri yang mampu hidup dalam kadar garam tinggi tergolong ke dalam kelompok ….,Spirochaeta,Proteobacteria,Termoasidofilik,Halofilik,D,1,
74,biologi,,umum,,Proses pertumbuhan larva menjadi hewan dewasa disebut ....,ontogenesis,pedogenesis,metamorfosis,metameri,C,1,
75,biologi,,umum,,Pada tumbuhan kegiatan metabolisme yang tidak termasuk asimilasi adalah,Fotosintesis,Penambatan N,Pembentukan gula,Kemosintesis,E,1,
76,biologi,,umum,,". Sinus venosus pada jantung katak
berfungsi untuk menerima darah dari
(1) Vena cava anterior
(2) Atrium kanan
(3) Vena cava posterior
(4) Ventrikel kanan","1, 2, dan 3 benar",1 dan 3 benar,2 dan 4 benar,4 benar,B,1,
77,biologi,,umum,,"Suatu kunci identifikasi disajikan sebagai berikut. 1a tubuh tidak terbagi menjadi kepala, dada, dan perut.
1b. Tubuh terbagi menjadi kepala, dada, dan perut.
1c. Tubuh terbagi menjadi sefalotoraks dan perut.
2a. Terdapat 4 pasang kaki.
2b. Terdapat 5 pasang kaki.
3a. Badan pipih beruas-ruas, pada tiap ruas terdapat 1 pasang kaki.
3b. Badan gilig beruas-ruas, pada tiap ruas terdapat 2 pasang kaki.
Urutan karakter kunci dikotomi tersebut adalah dari hewan ....",kepiting = 1c – 2a,kelabang = 1a – 3b,laba-laba = 1c – 2a,kaki seribu = 1a – 3a,C,1,
78,biologi,,umum,,"Pada pengembangan tanaman melon, gen B (licin) dominan terhadap b (kasar) dan k (kuning) dominan terhadap k (hijau). Penyilangan antara tanaman induk galur murni yang berbeda dalam dua karakter menghasilkan hibrid F1 heterozigot untuk kedua karakter. Jika F1 dibiarkan melakukan penyerbukan sendiri, akan dihasilkan rasio fenotipe ....",9 kuning-licin: 3 hijau-licin: 3 kuning-kasar: 1 hijau-kasar,9 kuning-licin: 3 hijau-licin: 3 hijau-kasar: 1 kuning-kasar,9 kuning-licin: 3 hijau-licin: 3 kuning-kasar,15 kuning-licin: 1 kuning-kasar,A,1,
79,biologi,,umum,,Kloning merupakan contoh bioteknologi modern. Tujuan utama cloning adalah untuk mengisolasi gen yang diinginkan dari seluruh gen yang ada pada organism donor. Untuk mencapai tujuan tersebut cloning dapat dilakukan dengan cloning transfer inti dan cloning embrio. Berikut yang merupakan contoh cloning dari transfer inti adalah,Inseminasi buatan sapi,Domba doliy,Anti biotic,Hormone BGH,B,1,
80,biologi,,umum,,"Medium yang baik untuk virus adalah
(1) Agar-agar
(2) Emrio tikus putih
(3) Air kaldu atau daging segar
(4) Embrio ayam hidup","Jika (1), (2), dan (3) benar",Jika (1) dan (3) benar,Jika (2) dan (4) benar,Jika hanya (4) yang benar,C,1,
81,ekonomi,,umum,,Memimpin organisasi atau perusahaan secara keseluruhan dan memimpin para manajer agar dapat membentuk tim kerja yang baik merupakan tugas....,Manajer lini pertama,Manajer menengah,Manajer puncak,Supervisor,C,1,
82,ekonomi,,umum,,GDP(gross domestic product) akan naik/meningkat apabila….,Instalasi berbagai sektor produksi bertambah,Tersedia barang dan jasa yang lebih besar di dalam negeri,Penerimaan negara dan APBN bertambah,Laju inflasi berkurang,B,1,
83,ekonomi,,umum,,"Pak Amir ditawari pekerjaan di perusahaan A dengan gaji Rp 2.500.000,00 per bulan, di perusahaan B dengan gaji Rp 3.000.000,00 per bulan, dan di perusahaan C dengan gaji Rp 2.250.000,00 per bulan.
Bila Pak Amir memilih bekerja di perusahaan B, biaya peluangnya adalah Rp 4.750.000,00
SEBAB
Biaya peluang adalah berapa yang dikorbankan karena seseorang telah memilih satu alternatif dari berbagai pilihan yang dihadapinya","Jika pernyataan benar, alasan benar, keduanya menunjukkan hubungan sebab akibat.","Jika pernyataan benar, alasan benar, tetapi keduanya tidak menunjukkan hubungan sebab akibat.","Jika pernyataan benar, alasan salah.","Jika pernyataan salah, alasan benar.",D,1,
84,ekonomi,,umum,,"CV Andra membeli perlengkapan sebesar Rp 1.200.000,00 dan peralatan sebesar Rp 400.000,00 dari PD Cinta dengan total pembayaran secara kas sebesar Rp 1.600.000,00. Pencatatan jurnal dari transaksi tersebut adalah....","Akun perlengkapan sebesar Rp 1.200.000,00 di sisi debit dan akun biaya peralatan sebesar Rp 400.000,00 di sisi debit dicatat oleh PD Cinta",Akun kas di sisi kredit dicatat oleh PD Cinta,Akun hutang dagang di sisi kredit dicatat oleh CV Andra,Akun kas di sisi debit dicatat oleh CV Andra,E,1,
85,ekonomi,,umum,,"Pada penyusunan APBN, pemerintah menentapkan belanja negara lebih sedikit dari pada penerimaan negara. Dengan demikian, penyusunan APBN tersebut menerapkan kebijakan anggaran….",Defisit,Surplus,Berimbang,Defisit dinamis,B,1,
86,ekonomi,,umum,,"Jika diketahui titik keseimbangan pasar  sebelum pajak adalah E (9,9) dan setelah pajak adalah Et (5,11) maka pajak yang ditanggung oleh konsumen sebesar ... per unit barang.",6,7,8,9,E,1,
87,ekonomi,,umum,,Elastisitas permintaan adalah….,Penurunan jumlah permintaan terhadap perubahan harga yang terjadi,Penurunan jumlah permintaan dengan perubahan harga,Peningkatan jumlah permintaan yang disebabkan oleh penurunan harga,Penurunan jumlah permintaan yang disebabkan oleh penurunan harga,E,1,
88,ekonomi,,umum,,Asas perpajakan yang menyebutkan bahwa dalam proses pemungutan pajak dilakukan sehemat-hematnya jangan sampai biaya pemungutan lebih rendah dari pendapatan dinamakan ….,Asas Finansiil,Asas Certainty,Asas Yuridis,Asas Multiguna,A,1,
89,ekonomi,,umum,,"Berikut adalah sumber pendapatan daerah:

1. PAD
2. dana perimbangan
3. pendapatan hibah
4. dana darurat
5. pajak daerah

Yang termasuk kelompok lain-lain pendapatan yang sah adalah ….","1, 2","2, 3","3, 4","4, 5",A,1,
90,ekonomi,,umum,,"Pada tahun 2012, pertumbuhan ekonomi Indonesia mencapai 6,29%, pertambahan penduduk tahun yang sama 1,5%. Dengan demikian, pada tahun 2012 tersebut...
(1) Pendapatan riil per kapita penduduk Indonesia naik sebesar 6,29%
(2) Daya beli riil penduduk Indonesia rata-rata naik sebesar 4,19%
(3) Daya beli nominal penduduk Indonesia naik sebesar 4,79%
(4) Pendapatan riil per kapita naik 4,79%","(1), (2), dan (3) benar",(1) dan (3) benar,(2) dan (4) benar,(4) saja,C,1,
91,ekonomi,,umum,,"Fungsi-fungsi manajemen dijumpai pada...
(1) Instansi pemerintah
(2) Rumah sakit
(3) Yayasan
(4) Rumah tangga","Jika pernyataan 1,2, dan 3 benar.",Jika pernyataan 1 dan 3 benar.,Jika pernyataan 2 dan 4 benar.,Jika pernyataan 4 saja yang benar.,A,1,
92,ekonomi,,umum,,Faktor-faktor yang mempengaruhi jumlah uang yang beredar dalam masyarakat adalah....,Jumlah penduduk dan motivasi investor asing,Tingkat pendapatan dan motivasi investor asing,Hubungan luar negeri dan motivasi investor asing,Tingkat harga barang dan tingkat pendapatan,D,1,
93,ekonomi,,umum,,Penyebab terjadinya demand pull-inflamation adalah....,Penetapan harga minimum,Kenaikan permintaan agregat,Perubahan gaji pegawai pemerintah dan karyawan swasta,Peningkatan biaya produksi,B,1,
94,ekonomi,,umum,,Ibu Andien menerima pesanan roti dalam jumlah banyak. Ia harus mampu menyelasaikan pesanannya dalam waktu 3 hari. Ibu Andien adalah ….,Whom,What,How many,How,D,1,
95,ekonomi,,umum,,"Pelaku ekonomi ini memiliki peran, antara lain:

1) Menyediakan faktor produksi.
2) Menggunakan barang atau jasa.

Pelaku ekonomi yang dimaksud adalah….",Rumah tangga produsen,Rumah tangga konsumen,Pemerintah,Luar negeri,B,1,
96,ekonomi,,umum,,"Perhatikan pernyataan berikut ini!

(1) Mnejalankan usaha secara berkala
(2) Mendapat izin dari pemerintah setempat.
(3) Mempunyai susunan organisasi yang jelas
(4) Menjalankan usaha produksi barang dan jasa.

Dari pernyataan di atas, yang termasuk dalam persyaratan menjadi perusahaan, yaitu...","1, 2, dan 3",1 dan 3,2 dan 4,4,D,1,
97,ekonomi,,umum,,Inti masalah ekonomi adalah....,Kebutuhan manusia yang bisa dipenuhi dengan kerja,Kebutuhan manusia dan uang sebagai alat pemuasnya,Kebutuhan manusia dan alat pemuas kebutuhan,Kebutuhan manusia dalam mencapai kepuasan hidup,C,1,
98,ekonomi,,umum,,"Jurnal untuk mencatat pemberian jasa kepada pelanggan secara kredit sebesar Rp8.000,00 adalah....","Kas di debit Rp8.000,00 utang di kredit Rp8.000,00","Piutang usaha di debit Rp8.000,00 , pendapatan jasa di kredit Rp8.000,00","Piutang usaha di debit Rp8.000,00, kas di kredit Rp8.000,00","Kas di debit Rp8.000,00, pendapatan jasa di kredit Rp8.000,00",B,1,
99,ekonomi,,umum,,Yang tidak termasuk pajak dalam negeri adalah ….,Pajak Pertambahan Nilai,Pajak Bumi Bnagunan,Pajak Pengahasilan,Cukai,E,1,
100,ekonomi,,umum,,"APBN merupakan instrument untuk mengendalikan perekonomian saat terjadinya inflasi atau deflasi. Hal ini menggambarkan fungsi APBN, yaitu …",Alokasi,Distribusi,Realokasi,Stabilisasi,D,1,
